locus	log2FoldChange	padj	symbol	description
AT1G01410	-1.05686941590081	0.894942174596723	PUM22	pumilio 22
AT1G01420	0.573760560465613	0.0240306230423171	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	0.0247174605044468	0.974049876239942	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	0.030118683200096	0.973527233305831		hypothetical protein (DUF3133)
AT1G01448	0.0553567040053749	0.903657503463827		Natural antisense transcript overlaps with AT1G01450
AT1G01450				Protein kinase superfamily protein
AT1G01453	1.50737361188183	0.322667781619784		late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	0.399168813645279	0.973527233305831	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase%2C core
AT1G01470	0.215050335059136	0.641127346681641	LEA14	Late embryogenesis abundant protein
AT1G01480	0.916025888839404	0.022747000507588	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	0.198429794739841	0.557717218570479		Heavy metal transport/detoxification superfamily protein
AT1G01500	0.0458800055353143	0.935799100632717		Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	-0.223209832096778	0.208180625625795	AN	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	-0.815143894143389	0.353054189293569	ASG4	Homeodomain-like superfamily protein
AT1G01530	0.171369072668114	1.0	AGL28	AGAMOUS-like 28
AT1G01540	-0.202717312235523	0.580630253901166		Protein kinase superfamily protein
AT1G01550	-0.0643370173175103	0.77162554299743	BPS1	BPS1-like protein (DUF793)
AT1G01560	0.491684197256301	0.330404718615232	MPK11	MAP kinase 11
AT1G01570	-0.401792921942778	0.318214920559836		transferring glycosyl group transferase (DUF604)
AT1G01580	0.137481689700447	0.974231201764335	FRO2	ferric reduction oxidase 2
AT1G01590	-1.38044528173467	0.391475858461851	FRO1	ferric reduction oxidase 1
AT1G01600	-0.250011563938014	0.718356268156133	CYP86A4	cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4
AT1G01610	-0.205555707385549	0.706389294570925	GPAT4	glycerol-3-phosphate acyltransferase 4
AT1G01620	-0.0479339379686755	0.963099013274428	PIP1C	plasma membrane intrinsic protein 1C
AT1G01630	-0.0487714933081694	0.973527233305831		Sec14p-like phosphatidylinositol transfer family protein
AT1G01640	0.93124802244524	0.00107062049023316		BTB/POZ domain-containing protein
AT1G01650	-0.17768143508843	0.431634732784036	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	0.815634773455764	0.173878667370314		RING/U-box superfamily protein
AT1G01670	0.76858543598991	0.0755460100318877		RING/U-box superfamily protein
AT1G01680	1.96395845200017	0.00318017446348945	PUB54	plant U-box 54
AT1G01690	0.10157100104357	0.938000661744864	PRD3	putative recombination initiation defects 3
AT1G01695	0.415554076771274	0.885606632883257	TRM33	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G01700	-0.391959163001158	0.591984529492042	ROPGEF2	RHO guanyl-nucleotide exchange factor 2
AT1G01710	0.0696408705586882	0.733071925317834		acyl-CoA thioesterase II
AT1G01715	-0.22788888759225	0.751918977013078		hypothetical protein
AT1G01720	-0.304852967279938	0.109817479519325	ATAF1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725	0.0558810469758332	0.973527233305831		adenylosuccinate synthetase
AT1G01730	0.487936009162663	0.0047396078962407		hypothetical protein
AT1G01740	-0.409862627662881	0.119634979244733	BSK4	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750	-0.0564021916477212	1.0	ADF11	actin depolymerizing factor 11
AT1G01760	0.149108650004789	0.761531879052502		denosine deaminases acting on tRNA
AT1G01770	-0.0569624513143305	0.934302746998453		propionyl-CoA carboxylase
AT1G01780	0.236456757247976	0.454911500615421	PLIM2b	GATA type zinc finger transcription factor family protein
AT1G01790	-0.559544107119366	2.16081722245628e-06	KEA1	K+ efflux antiporter 1
AT1G01800	0.0401680127951767	0.963099013274428		NAD(P)-binding Rossmann-fold superfamily protein
AT1G01810	0.411737624614663	0.750885522227594		hypothetical protein
AT1G01820	0.158916533850281	0.181849971114742	PEX11C	peroxin 11c
AT1G01830	0.21641504548079	0.386860653520772		ARM repeat superfamily protein
AT1G01840	1.13315700701119	0.963099013274428		AP2-like ethylene-responsive transcription factor SNZ
AT1G01860	-0.157687002648464	0.802144492473655	PFC1	Ribosomal RNA adenine dimethylase family protein
AT1G01870				
AT1G01880	-0.0499102519002327	0.985518878614033		5'-3' exonuclease family protein
AT1G01890				
AT1G01900	-0.616496420448822	0.592613792625066	SBTI1.1	subtilase family protein
AT1G01910	0.019712915862573	0.973527233305831		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G01920	0.130450608939029	0.628188186978613		SET domain-containing protein
AT1G01930	0.0377671796339524	0.953684399645517		zinc finger protein-like protein
AT1G01940	0.367668183227415	0.237144643307937		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950	-0.168299221283998	0.339864019008221	ARK2	armadillo repeat kinesin 2
AT1G01960	-0.12589665499484	0.457642081065919	EDA10	SEC7-like guanine nucleotide exchange family protein
AT1G01970	-0.620937275927808	0.000416256737067891		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980	2.62096109873432	0.761638990046358		FAD-binding Berberine family protein
AT1G01990	0.0354848521679125	0.973527233305831		hypothetical protein
AT1G02000	-0.0888955956294477	0.920106871379303	GAE2	UDP-D-glucuronate 4-epimerase 2
AT1G02010	-0.0900981422390195	0.861787468306299	SEC1A	secretory 1A
AT1G02020	-0.102746470148322	0.858926791525462		nitroreductase family protein
AT1G02030	0.914837460819959	0.578201873423098		C2H2-like zinc finger protein
AT1G02040	-0.190872932706842	1.0		C2H2-type zinc finger family protein
AT1G02050	0.0611937136538415	0.955453436217195	LAP6	Chalcone and stilbene synthase family protein
AT1G02060	-0.312044685186613	0.405743887201085		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065	-0.727502615947532	0.378441094576603	SPL8	squamosa promoter binding protein-like 8
AT1G02067				hypothetical protein
AT1G02070	-0.676233367680275	0.605654722969993		zinc ion-binding protein
AT1G02080	-0.328125576270699	0.0095777196986266		transcription regulator
AT1G02090	0.210845077425255	0.429835762988471	FUS5	Proteasome component (PCI) domain protein
AT1G02100	0.0276889357317218	0.963099013274428	SBI1	Leucine carboxyl methyltransferase
AT1G02110	-0.33957915641391	0.173635152651428		bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120	0.243001046436193	0.301678069015453	VAD1	GRAM domain family protein
AT1G02130	-0.215858545470042	0.154152767097678	RA-5	RAS 5
AT1G02140	0.11539459032326	0.695009385940543	MAGO	mago nashi family protein
AT1G02145	-0.581420451300957	0.00999905550668234	ALG12	homolog of asparagine-linked glycosylation 12
AT1G02150	-0.152170387288369	0.672825991369878		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160	-0.045094706761592	0.963099013274428		Cox19 family protein (CHCH motif)
AT1G02170	0.31441866141373	0.267978157826154	MC1	metacaspase 1
AT1G02180	-0.141046353747761	0.907621442749377		ferredoxin-like protein
AT1G02190	0.587472573798263	0.786221487173312		Fatty acid hydroxylase superfamily
AT1G02205	-0.665473030737206	0.730484382772463	CER1	Fatty acid hydroxylase superfamily
AT1G02210				NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02220	0.371013110431633	0.325549005789828	NAC003	NAC domain containing protein 3
AT1G02230	1.29040768084489	0.169223522920773	NAC004	NAC domain containing protein 4
AT1G02250	0.100690958586543	0.999445490270123	NAC005	NAC domain containing protein 5
AT1G02260	0.097636496532251	0.809450863581042		Divalent ion symporter
AT1G02270	-0.38350268671852	0.00352315709924577		Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G02280	-0.254347712957343	0.391094506454511	TOC33	translocon at the outer envelope membrane of chloroplasts 33
AT1G02290	-0.0471730616559457	0.969843780764381		hypothetical protein
AT1G02300	0.140933356172024	0.647430477413793		Cysteine proteinases superfamily protein
AT1G02305	-0.0056304128910972	1.0		Cysteine proteinases superfamily protein
AT1G02310	-0.537195138691685	0.583134197517186	MAN1	Glycosyl hydrolase superfamily protein
AT1G02320				hypothetical protein
AT1G02330	0.239077388579653	0.419810934303829		integrator complex subunit-like protein
AT1G02335	-0.209588303356417	0.786411822479547	GL22	germin-like protein subfamily 2 member 2 precursor
AT1G02340	-0.365891113061844	0.39963871869477	HFR1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G02350	-0.834774311315977	0.000327600640316775		protoporphyrinogen oxidase-like protein
AT1G02360	0.919558599590069	0.0133605699457903		Chitinase family protein
AT1G02370	0.149512747903533	0.777666197322692		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02380	-0.475200872499426	0.289493008213403		transmembrane protein
AT1G02390	-1.23957936741475	0.0901410015936838	GPAT2	glycerol-3-phosphate acyltransferase 2
AT1G02400	0.171056915905829	0.794216372563867	GA2OX6	gibberellin 2-oxidase 6
AT1G02405	0.122898376839648	0.968299141277174		proline-rich family protein
AT1G02410	-0.296091518455552	0.191871778750123		cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420	-0.166940926146242	0.938000661744864		Pentatricopeptide repeat (PPR) superfamily protein
AT1G02430	1.36987017047095	0.224719453730774	ARFD1B	ADP-ribosylation factor D1B
AT1G02440	1.42646601520574	0.00252830724869055	ARFD1A	ADP-ribosylation factor D1A
AT1G02450	3.27234202307239	0.0014874536398188	NIMIN1	NIM1-interacting 1
AT1G02460	0.367988637158973	0.895985024702484		Pectin lyase-like superfamily protein
AT1G02470	0.526980483411708	0.274444830540813		Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02475	-0.538110475507922	0.0401634446501534		Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02480				
AT1G02490	1.37093671405438	0.515792040565253		hypothetical protein
AT1G02500	0.563961254983845	0.0140169765749342	SAM1	S-adenosylmethionine synthetase 1
AT1G02510	-1.73884679293601	0.93138986019516	TPK4	Outward rectifying potassium channel protein
AT1G02520	0.381003549777993	0.36395161733203	ABCB11	P-glycoprotein 11
AT1G02530	-0.235149150277567	0.963099013274428	ABCB12	P-glycoprotein 12
AT1G02540				hypothetical protein
AT1G02550				Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G02560	-0.271637972890535	0.0808455355575224	CLPP5	nuclear encoded CLP protease 5
AT1G02570	1.21372812885781	0.288269089496149		transmembrane protein
AT1G02575	0.077595721123914	0.996564915302435		transmembrane protein
AT1G02580	0.982640575429243	0.465732373698791	MEA	SET domain-containing protein
AT1G02590	-0.777059440900548	0.973942315966106		Aldehyde oxidase/xanthine dehydrogenase%2C molybdopterin binding protein
AT1G02600				
AT1G02610	-1.088469355862	2.24155667336554e-05		RING/FYVE/PHD zinc finger superfamily protein
AT1G02620	-0.507284733544944	0.0240042091030798		Ras-related small GTP-binding family protein
AT1G02630	2.33317972825343	0.269722203719115		Nucleoside transporter family protein
AT1G02640	-0.0561784714841321	0.900862361924807	BXL2	beta-xylosidase 2
AT1G02650	0.12094111432336	0.893445035945289		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02660	-0.698419906388956	4.40344307973739e-05		alpha/beta-Hydrolases superfamily protein
AT1G02670	-0.117814595187292	0.894942174596723		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G02680	0.0503070339345367	0.953416572365812	TAF13	TBP-associated factor 13
AT1G02690	0.453020667927736	0.132627146685229	IMPA-6	importin alpha isoform 6
AT1G02700	-0.293688150867357	0.952950227780185		GATA transcription factor-like protein
AT1G02705	0.0	1.0		hypothetical protein
AT1G02710				glycine-rich protein
AT1G02720	-0.161445787213649	0.71357592108754	GATL5	galacturonosyltransferase 5
AT1G02730	0.894855434346794	0.0430573258865832	CSLD5	cellulose synthase-like D5
AT1G02740	-0.0595053032099036	0.883844725042623		MRG family protein
AT1G02750	-0.436790225531099	0.113771003808298		Drought-responsive family protein
AT1G02760				
AT1G02770	0.508262783434615	0.480742641663245		hypothetical protein
AT1G02780	0.204633204581076	0.268628796395653	emb2386	Ribosomal protein L19e family protein
AT1G02790			PGA4	polygalacturonase 4
AT1G02800	1.11460111471839	0.394037811335757	CEL2	cellulase 2
AT1G02810	0.0496502623477876	0.973527233305831		Plant invertase/pectin methylesterase inhibitor superfamily
AT1G02813	2.13381219713486	0.894942174596723		pectinesterase (Protein of unknown function%2C DUF538)
AT1G02816	-0.423250059869869	0.00616241228778225		pectinesterase (Protein of unknown function%2C DUF538)
AT1G02820	-0.575477185182726	0.21653087607873	LEA3	Late embryogenesis abundant 3 (LEA3) family protein
AT1G02830	0.0	1.0		Ribosomal L22e protein family
AT1G02840	0.192596655136329	0.24309983057049	SR34	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G02850	-0.227703971975274	0.677158733519882	BGLU11	beta glucosidase 11
AT1G02860	-0.232665711787495	0.35549586683943	NLA	SPX (SYG1/Pho81/XPR1) domain-containing protein
AT1G02870	0.463070086535803	0.0222577731578276		nucleolar-like protein
AT1G02880	-0.21078935265474	0.562843641018535	TPK1	thiamin pyrophosphokinase1
AT1G02890	-0.0702860885771473	0.80611989226719		AAA-type ATPase family protein
AT1G02900	0.42026440325579	0.570015683393446	RALF1	rapid alkalinization factor 1
AT1G02910	-0.118329988971854	0.649823516294654	LPA1	tetratricopeptide repeat (TPR)-containing protein
AT1G02920	1.94994236057076	1.00929240815308e-24	GSTF7	glutathione S-transferase 7
AT1G02930	1.78269988965701	1.22980148466198e-13	GSTF6	glutathione S-transferase 6
AT1G02940	3.43163087593784	0.000962808686871761	GSTF5	glutathione S-transferase (class phi) 5
AT1G02950	-2.22596986876227	0.885606632883257	GSTF4	glutathione S-transferase F4
AT1G02952				Natural antisense transcript overlaps with AT1G02950
AT1G02960	-0.133246305147442	0.359556468196288		kinetochore protein
AT1G02965				hypothetical protein
AT1G02970	-0.0619387245755991	0.981885887073672	WEE1	WEE1-like kinase
AT1G02980	-1.11717761348391	0.778782745221277	CUL2	cullin 2
AT1G02990	-0.284126493436241	0.176305505445401		hypothetical protein
AT1G03000	-0.0832735510139867	0.7499873610918	PEX6	peroxin 6
AT1G03010	1.00435400040401	0.0625239177050518		Phototropic-responsive NPH3 family protein
AT1G03020	-3.03379632203018	0.355087563566212		Thioredoxin superfamily protein
AT1G03030	-0.184216124715061	0.44432900202896		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03040	0.134480564467035	0.563927422089257		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03050	-0.698269001613531	0.795347608856524		ENTH/ANTH/VHS superfamily protein
AT1G03055	-0.936200740979841	0.244903787477936	D27	beta-carotene isomerase D27-like protein
AT1G03060	0.0976735904966989	0.703577021368745	SPI	BEACH-DOMAIN HOMOLOG A1
AT1G03070	-1.28300923515521	0.428945316412269		Bax inhibitor-1 family protein
AT1G03080	0.121595682970126	0.505473738022701	NET1D	kinase interacting (KIP1-like) family protein
AT1G03090	-0.0305279175575189	0.969890351480814	MCCA	methylcrotonyl-CoA carboxylase alpha chain
AT1G03100	-0.770901483028225	0.0331135176552751		Pentatricopeptide repeat (PPR) superfamily protein
AT1G03103	0.170348305008351	0.963099013274428		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G03106	-0.16972443167417	0.989000969688806		hypothetical protein
AT1G03110	-0.195534323717908	0.441439117339907	TRM82	Transducin/WD40 repeat-like superfamily protein
AT1G03120	-0.254076883989723	0.883246600827751	RAB28	responsive to abscisic acid 28
AT1G03130	-0.247178057849952	0.607398924084882	PSAD-2	photosystem I subunit D-2
AT1G03140	-0.0083260642545247	1.0		splicing factor Prp18 family protein
AT1G03150	-0.614640887189846	0.00142201937751592		Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03160	-0.35320876346648	0.0938904587338035	FZL	FZO-like protein
AT1G03165	-1.46651350509929	0.407402255865699		hypothetical protein
AT1G03170	0.2143880735042	0.899934271282744	FAF2	FANTASTIC four-like protein (DUF3049)
AT1G03180	-0.277400043547543	0.674595952720011		non-structural protein
AT1G03190	0.0768320042326519	0.84397116622866	UVH6	RAD3-like DNA-binding helicase protein
AT1G03200	-0.417193866112732	0.886559667123128		hypothetical protein
AT1G03210	0.355762179041712	0.00280574930108658		Phenazine biosynthesis PhzC/PhzF protein
AT1G03220	-0.180743380370966	0.691977501377412		Eukaryotic aspartyl protease family protein
AT1G03230	0.193017121098632	0.477114279483679		Eukaryotic aspartyl protease family protein
AT1G03240	-0.790422649994043	0.963099013274428		hypothetical protein
AT1G03250	-0.22036465455793	0.262213380392174		R3H domain protein
AT1G03260	-0.150714508357952	0.614870452615405		SNARE associated Golgi protein family
AT1G03270	-0.576240629371963	0.0509908789908025		CBS domain protein with a domain protein (DUF21)
AT1G03280	0.085923231848363	0.804230849165698		Transcription factor TFIIE%2C alpha subunit
AT1G03290	0.0706101978677659	0.869215389206491		ELKS/Rab6-interacting/CAST family protein
AT1G03300			ATDUF1	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)
AT1G03310	-0.500267106672232	0.00299983794227696	DBE1	debranching enzyme 1
AT1G03320	0.344570815102744	0.946851268342023		hypothetical protein
AT1G03325				hypothetical protein
AT1G03330	-0.0189727127391865	0.983125862203963	LSM2	Small nuclear ribonucleoprotein family protein
AT1G03340	-0.335367646215064	0.538264912520564		hypothetical protein
AT1G03350	0.113537319779377	0.709561385220473		BSD domain-containing protein
AT1G03360	0.0469037046370077	0.9576473213539	RRP4	ribosomal RNA processing 4
AT1G03365	0.0854656112408169	0.761222673858872		RING/U-box superfamily protein
AT1G03370	0.05934224178836	0.911487903094193		C2 calcium/lipid-binding and GRAM domain containing protein
AT1G03380	-0.0391829890340618	0.919321757349179	ATG18G	yeast autophagy 18 G-like protein
AT1G03390	-2.48043991943063	0.648745981904704		HXXXD-type acyl-transferase family protein
AT1G03395				hypothetical protein
AT1G03400	0.366348854809375	0.154521836100932		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03410	-0.113606525488878	0.838898470620487	2A6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03430	-0.309146185024428	0.472656412936224	AHP5	histidine-containing phosphotransfer factor 5
AT1G03440	0.279975422000022	0.16477974628003		Leucine-rich repeat (LRR) family protein
AT1G03445	-1.25402044884481	0.316920387171316	BSU1	Serine/threonine protein phosphatase family protein
AT1G03457	-0.0444837985931347	0.963099013274428		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G03470	0.246167183568524	0.1696734024067	NET3A	Kinase interacting (KIP1-like) family protein
AT1G03475	-0.162663680843247	0.363706839692889	LIN2	Coproporphyrinogen III oxidase
AT1G03490	-0.666815459226988	0.982395339688515	NAC006	NAC domain containing protein 6
AT1G03495	0.194096013199051	0.635804121877208		HXXXD-type acyl-transferase family protein
AT1G03502	-1.61919336347673	0.926358500545851		snoRNA
AT1G03506	-0.632237488965169	0.822835834862686		snoRNA
AT1G03510	-0.156123540172903	0.858129901004992		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G03515				
AT1G03520	-0.469545557366621	0.0879496493535582		Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein
AT1G03530	0.342509623320754	0.178735459523193	NAF1	nuclear assembly factor 1
AT1G03540	-0.111020388863122	0.938527202753685		Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03545	-0.275666104158351	0.963099013274428		Natural antisense transcript overlaps with AT1G03550
AT1G03550	-0.153213077122591	0.888092711161078	SCAMP4	Secretory carrier membrane protein (SCAMP) family protein
AT1G03560	-0.0116271349541963	0.999255603397497		Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03570				
AT1G03590	0.0258248548396939	0.966087775150386		Protein phosphatase 2C family protein
AT1G03600	-0.353112396062474	0.0636586982824036	PSB27	photosystem II family protein
AT1G03610	-0.714257486409403	3.52832279323887e-06		plant/protein (DUF789)
AT1G03620	0.674097724715969	0.0563485020471151		ELMO/CED-12 family protein
AT1G03630	-0.647413200511059	0.0239704946507421	POR C	protochlorophyllide oxidoreductase C
AT1G03640				
AT1G03650	0.382901805771554	0.111409873987282		Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03660	-0.897789706057679	0.361930207048189		Ankyrin-repeat containing protein
AT1G03670	1.35730923094637	0.715922792725073		ankyrin repeat family protein
AT1G03680	-0.251906268542036	0.116614782548305	THM1	thioredoxin M-type 1
AT1G03687	-0.00507199653141849	1.0		DTW domain-containing protein
AT1G03700	0.17484271519027	0.959295575426391		Uncharacterized protein family (UPF0497)
AT1G03710	-1.40987818185243	0.265941276851887		Cystatin/monellin superfamily protein
AT1G03720				Cysteine proteinases superfamily protein
AT1G03730	-0.0550320509866546	0.894942174596723		pyrroline-5-carboxylate reductase
AT1G03740	0.0506848394577177	0.928769332854179		Protein kinase superfamily protein
AT1G03743				snoRNA
AT1G03746				snoRNA
AT1G03750	-0.0132640984426696	0.996247438717941	SWI2	switch 2
AT1G03760	0.535091726542952	0.0249268608341563		Prefoldin chaperone subunit family protein
AT1G03770	0.196176091923701	0.433112390944877	RING1B	RING 1B
AT1G03780	0.741470139624487	0.0566550873360902	TPX2	targeting protein for XKLP2
AT1G03790	-0.233235587929001	0.973527233305831	SOM	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G03800	-0.126505422647412	0.894942174596723	ERF10	ERF domain protein 10
AT1G03810	-0.790418279364181	0.973527233305831		Nucleic acid-binding%2C OB-fold-like protein
AT1G03820	0.975297268300045	0.017477679328529		E6-like protein
AT1G03830	0.179826900778305	0.517670322836712		guanylate-binding family protein
AT1G03840	-0.340956636752329	0.669892527187586	MGP	C2H2 and C2HC zinc fingers superfamily protein
AT1G03850	0.811472676778468	0.0462721251628974	GRXS13	Glutaredoxin family protein
AT1G03860	0.130862718114253	0.568480615154926	PHB2	prohibitin 2
AT1G03870	-0.0462285926128548	0.999555327776489	FLA9	FASCICLIN-like arabinoogalactan 9
AT1G03880	1.1331564247004	0.963099013274428	CRU2	cruciferin 2
AT1G03890	-0.79041827936418	0.973527233305831		RmlC-like cupins superfamily protein
AT1G03900	0.454904737929881	0.0247354971751059	ABCI18	non-intrinsic ABC protein 4
AT1G03905	0.374631638187294	0.333194982761947	ABCI19	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03910	0.169046394643471	0.411885478583836		cactus-binding carboxy-terminal%2C cactin
AT1G03920	-0.461214481720999	0.578201873423098		Protein kinase family protein
AT1G03930	-0.0727717034023547	0.839332383419087	ADK1	dual specificity kinase 1
AT1G03935	-1.46291554298249	0.150630301318351		snoRNA
AT1G03940	0.292400857691328	0.390828713447012		HXXXD-type acyl-transferase family protein
AT1G03950	0.119942816452919	0.540734604506608	VPS2.3	vacuolar protein sorting-associated protein 2.3
AT1G03960	-0.340038536623204	0.0519268767963969		Calcium-binding EF hand family protein
AT1G03970	0.267781726874109	0.396233677036173	GBF4	G-box binding factor 4
AT1G03980	0.251878005075122	0.862154218253633	PCS2	phytochelatin synthase 2
AT1G03982	-1.6286028112625	0.935799100632717		PAK-box/P21-Rho-binding family protein
AT1G03987	-1.42116682561867	0.651798131200702		
AT1G03990	-0.383794118074268	0.150872240565738		Long-chain fatty alcohol dehydrogenase family protein
AT1G03993				Natural antisense transcript overlaps with AT1G01040
AT1G03997				Natural antisense transcript overlaps with AT1G01050
AT1G04000	0.182932956885779	0.656641973884488		hypothetical protein
AT1G04003	-0.790418279364181	0.973527233305831		
AT1G04007				Natural antisense transcript overlaps with AT1G01160
AT1G04010	0.253866100626576	0.327806499902477	PSAT1	phospholipid sterol acyl transferase 1
AT1G04013				Natural antisense transcript overlaps with AT1G01170
AT1G04017				
AT1G04020	0.0482932039709679	0.963099013274428	BARD1	breast cancer associated RING 1
AT1G04023				
AT1G04027				
